timestamp,speed
0,100
0.25,99
0.5,99
0.75,98
1,98
1.25,97
1.5,96
1.75,95
2,94
2.25,93
2.5,92
2.75,91
3,90
3.25,89
3.5,88
3.75,87
4,86
4.25,85
4.5,85
4.75,84
5,83
5.25,82
5.5,81
5.75,80
6,79
6.25,78
6.5,77
6.75,76
7,75
7.25,74
7.5,73
7.75,72
8,71
8.25,70
8.5,69
8.75,68
9,67
9.25,66
9.5,65
9.75,64
10,63
10.25,63
10.5,62
10.75,60
11,60
11.25,59
11.5,58
11.75,57
12,56
12.25,55
12.5,54
12.75,53
13,52
13.25,51
13.5,50
13.75,49
14,48
14.25,47
14.5,46
14.75,45
15,44
15.25,43
15.5,42
15.75,41
16,40
16.25,39
16.5,38
16.75,37
17,36
17.25,35
17.5,34
17.75,33
18,32
18.25,31
18.5,30
18.75,29
19,28
19.25,27
19.5,27
19.75,26
20,25
20.25,24
20.5,23
20.75,22
21,21
21.25,20
21.5,19
21.75,18
22,17
22.25,16
22.5,15
22.75,14
23,13
23.25,12
23.5,11
23.75,10
24,10
24.25,9
24.5,8
24.75,7
25,7
25.25,6
25.5,5
25.75,5
26,4
26.25,4
26.5,3
26.75,3
27,2
27.25,2
27.5,1
27.75,1
28,0